youth	"젊은, 청년시절, 발육기"
abruptly	"갑자기, 뜻밖에"
arbitrarily	"임의로, 독단적으로, 제멋대로, 마음대로"
beneath	"밑에, 하위에, 낮은, 가치가 없는"
briefly	"간단히, 잠시 동안"
deadly	"몹시, 치명적으로, 치명적인 심한"
further	"더 멀리, 더 나아가서, 게다가, 뒤따른 진행시키다, 조성하다"
newly	"최근에, 새로이, 다시"
notably	"현저하게, 특히"
occasionally	"때때로, 이따금"
openly	"공공연하게, 솔직히"
partly	"부분적으로, 어느 정도는"
roughly	"거칠게, 대충"
ruthlessly	"무자비하게, 가차 없이, 냉혹하게"
seldom	"드물게, 좀처럼"
somewhat	"얼마간, 약간, 다소"
throughout	"도처에, 처음부터 끝까지"
virtually	"사실상, 실제적으로"
while	"~하는 동안, 동안, 잠깐, 잠시"
wholly	"전적으로, 완전히, 오로지"
dislike	"싫어하다, 좋아하지 않다"
disorder	"무질서, 혼란, 병, 질환"
inactive	"활동하지 않는, 나태한"
inadequate	"불충분한, 부적당한"
informal	"형식을 따지지않는, 비공식적인, 비공식, 약식"
insane	"제정신이 아닌, 미친, 어리석은"
immobile	"부동의, 움직일 수 없는"
impartial	"공평한, 편파적이 아닌"
irregular	"불규칙한, 고르지 못한"
misuse	"오용, 남용, 학대, 악용하다, 학대하다"
misfortune	"불운, 불행, 역경"
mitaken	"틀린, 오해한"
mishap	"사고, 재난, 불상사"
amoral	도덕적이지 않은
amorphous	"무정형의, 조직이 없는"
apathy	"냉담, 무관심"
atypical	"부정형의, 전형적이 아닌"
malfunction	"기기고장, 오작동"
malnutrition	"영양부족, 영양실조"
malignant	"악의적인, 해로운, 악성"
maltreatment	"학대, 혹사"
malevolent	"악의 있는, 남의 불행을 기뻐하는"
nonaggression	불가침
none	아무도-않다
antiwar	반전의
antifreeze	부동액
antiseptic	"방부제, 방부제의"
antipathy	"반감, 혐오"
antivenom	해독제
antisocial	비사교적인
antithesis	"대조, 정반대"
antarctic	남극의
antonym	반의어
antagonistic	"적대적인, 상반되는, 대립하는, 사이가 나쁜"
antacid	"산을 중화하는, 제산제"
anthelmintic	"구충제, 회충약, 구충의"
counteract	"거스르다, 방해하다, 중화하다, 좌절시키다"
counterattack	"역습, 반격"
counterpart	"상대, 사본"
counterbalance	"평형추, 평형력"
counterclockwise	"시계 반대 방향의, 시계 반대 방향으로"
contradiction	"부정, 모순"
contraceptive	피임용의
controversy	"논쟁, 말다툼, 언쟁"
objection	"반대, 이의"
obstruct	"막다, 차단하다, 방해하다"
obliterate	"지우다, 없애다, 말소하다"
obscene	"외설한, 음란한, 지겨운"
obnoxious	"불쾌한, 싫은, 비위 상하는"
oppose	"반대하다, 대항하다, 대치하다"
oppress	"압박하다, 억압하다, 박해하다"
ostentatious	"과시하는, 야한, 화려한"
withhold	"보류하다, 억제하다"
withstand	"저항하다, 버티다"
wither	"마르다, 시들다, 사라지다"
provoke	"불러일으키다, 야기하다, 화나게 하다"
propel	추진하다. 나아가게 하다.
prophet	"예언자, 선지자"
predominant	"우세한, 유력한, 탁월한, 지배적인"
foresee	"예견하다, 예치하다"
foretell	"예고하다, 예언하다"
forefather	"조상, 선조"
foremost	"일류의, 으뜸가는"
antique	"골동품, 미술품, 고미술의, 골동의"
ancestor	"조상, 선구자"
advance	"전진, 발전, 나아가다, 제출하다,승진시키다"
recede	"물러가다, 감소하다, 떨어지다"
revoke	취소하다
recant	"고치다, 취소하다, 부인하다"
restrospect	"회상, 회고, 추억"
retrograde	"후퇴하는, 역행하는, 되돌아가는"
retroact	"이전으로 소급하다, 거꾸로 작용하다"
retrocede	"반환하다, 되돌아가다, 물러가다, 후퇴하다"
retroactive	"소급하는, 반동하는"
postgraduate	대학원생
postpone	"뒤로 미루다, 연기하다"
postimpressionist	후기인상파 화가
postscript	"후기, 추신, 해설"
afterward	"후에, 나중에, 그 후에"
afterword	"맺는말, 발문, 후기"
afterlife	"내세, 사후의 삶"
superior	"뛰어난, 우수한, 상위의, 우월, 탁월"
supervise	"감독하다, 관리하다, 지휘하다"
supreme	"최고의, 최상의 최우수의"
superstition	"미신, 우상, 공포"
supernatural	"초자연의, 신비적인, 불가사의한"
surface	"표면, 평면, 외부, 겉보기, 외관, 떠오르다"
surpass	"능가하다, 초월하다, -보다낫다"
surplus	"나머지, 잉여(금)"
surrender	"넘겨주다, 포기하다, 항복하다"
oversee	"감독하다, 두루살피다, 망보다"
overcome	"이기다, 패배시키다, 압도하다, 압도하는, 패배시키는"
overturn	"전복시키다, 뒤집다, 넘어뜨리다"
overlook	"내려다보다, 대충 보다, 못보고 지나치다"
overpower	"이기다, 눌러버리다, 제압하다"
upright	"똑바로 선, 직립의, 올바른, 강직한"
uproot	"뿌리뽑다, 몰아내다, 근절하다"
upstream	"상류에, 강을 거슬러 올라가서, 상류의, 흐름을 거슬러 오르는"
upheaval	"격변, 대변동"
undertake	"착수하다, 시작하다, 액동하다, 동의하다"
undergo	"만나다, 당하다, 겪다, 경험하다, 견디다, 참다"
underlying	"근원적인, 잠재적인"
undergraduate	"대학생, 학부생"
undercurrent	"저의, 부정적 감정, 암류"
submarine	"해저의, 바닷속의, 잠수함의, 잠수함"
submerged	"수몰된, 액체 내에서, 물속에서 자라는, 감추어진"
subscription	"기부, 예약구독, 신청"
substantial	"상당한, 실질적인, 중요한"
